TreeNum,Tree_ID,Cultivar,Flowers_03Feb,Flowers_15Feb,Flowers_07Mar,EBI_Norm_2021
1,Tree_2077,UEF,0.0,95.0,50.0,0.6176
2,Tree_2339,UEF,0.0,0.0,70.0,0.5738
3,Tree_2118,UEF,0.0,0.0,70.0,0.5074
4,Tree_1935,UEF,0.0,10.0,50.0,0.5651
5,Tree_1715,UEF,0.0,0.0,60.0,0.5907
6,Tree_1628,UEF,0.0,0.0,50.0,0.3661
7,Tree_1494,UEF,0.0,0.0,30.0,0.4755
8,Tree_1389,UEF,0.0,15.0,60.0,0.4652
9,Tree_0869,UEF,0.0,0.0,60.0,0.5122
10,Tree_0870,UEF,0.0,20.0,70.0,0.5045
11,Tree_2067,53,0.0,0.0,60.0,0.6946
12,Tree_2224,53,0.0,0.0,30.0,0.6705
13,Tree_1762,53,0.0,0.0,90.0,0.6181
14,Tree_1890,53,0.0,0.0,90.0,0.6827
15,Tree_0701,53,0.0,0.0,0.0,0.6504
16,Tree_1576,53,0.0,0.0,80.0,0.5315
17,Tree_1034,53,0.0,0.0,50.0,0.651
18,Tree_0914,53,0.0,0.0,30.0,0.6264
19,Tree_1238,53,0.0,0.0,80.0,0.654
20,Tree_1912,53,0.0,0.0,30.0,0.6817
